业务概念(Term),SAP对标字段,MES物理字段名(DB_Column),数据类型,字典编码(dict_code),长度,是否必填,备注
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
成品序列号ID,,fg_serial_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
成品批次ID,,fg_lot_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
物料ID,,material_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
序列号,,serial_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
UDI编码,,udi_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
成品序列号状态,,fg_serial_status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
批次族谱ID,,lot_genealogy_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
来源批次类型,,source_lot_type,varchar,mes_lot_object_type,32,否,来源批次类型，兼容字段；优先使用明确来源批次外键。
来源批次ID,,source_lot_id,bigint,,20,否,兼容字段，记录来源批次泛型ID；强追溯场景优先使用明确外键字段。
来源物料批次ID,,source_material_lot_id,bigint,,20,否,来源为物料批次时使用。
来源在制批次ID,,source_wip_lot_id,bigint,,20,否,来源为在制批次时使用。
来源成品批次ID,,source_fg_lot_id,bigint,,20,否,来源为成品批次时使用。
目标批次类型,,target_lot_type,varchar,mes_lot_object_type,32,否,目标批次类型，兼容字段；优先使用明确目标批次外键。
目标批次ID,,target_lot_id,bigint,,20,否,兼容字段，记录目标批次泛型ID；强追溯场景优先使用明确外键字段。
目标物料批次ID,,target_material_lot_id,bigint,,20,否,目标为物料批次时使用。
目标在制批次ID,,target_wip_lot_id,bigint,,20,否,目标为在制批次时使用。
目标成品批次ID,,target_fg_lot_id,bigint,,20,否,目标为成品批次时使用。
关系类型,,relation_type,varchar,mes_lot_genealogy_relation,32,否,批次谱系关系类型。
数量,,qty,decimal,,18,是,基础版字段定义，后续可按数据库规范细化。
单位,,uom,varchar,mes_uom,20,否,基础版字段定义，后续可按数据库规范细化。
来源事件ID,,source_event_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
序列号族谱ID,,serial_genealogy_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
父级序列号类型,,parent_serial_type,varchar,mes_serial_object_type,32,否,父级序列号类型，兼容字段；优先使用明确序列号外键。
父级序列号ID,,parent_serial_id,bigint,,20,否,兼容字段，记录父级序列号泛型ID；强追溯场景优先使用明确外键字段。
父级物料序列号ID,,parent_material_serial_id,bigint,,20,否,父级为物料序列号时使用。
父级成品序列号ID,,parent_fg_serial_id,bigint,,20,否,父级为成品序列号时使用。
子级序列号类型,,child_serial_type,varchar,mes_serial_object_type,32,否,子级序列号类型，兼容字段；优先使用明确序列号外键。
子级序列号ID,,child_serial_id,bigint,,20,否,兼容字段，记录子级序列号泛型ID；强追溯场景优先使用明确外键字段。
子级物料序列号ID,,child_material_serial_id,bigint,,20,否,子级为物料序列号时使用。
子级成品序列号ID,,child_fg_serial_id,bigint,,20,否,子级为成品序列号时使用。
关系类型,,relation_type,varchar,mes_serial_genealogy_relation,32,否,序列号谱系关系类型。
来源事件ID,,source_event_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
报工接口ID,,report_if_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
接口消息ID,,interface_msg_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
报工ID,,report_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
SAP订单号,,sap_order_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
SAP工序号,,sap_operation_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
确认数量,,confirm_qty,decimal,,18,是,基础版字段定义，后续可按数据库规范细化。
确认单位,,confirm_uom,varchar,mes_uom,20,否,基础版字段定义，后续可按数据库规范细化。
过账状态,,posting_status,varchar,mes_posting_status,20,是,基础版字段定义，后续可按数据库规范细化。
过账时间,,posting_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
错误信息,,error_message,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
检验接口ID,,insp_if_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
接口消息ID,,interface_msg_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
检验结果ID,,insp_result_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
SAP订单号,,sap_order_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
SAP工序号,,sap_operation_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
检验批号,,inspection_lot_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
结果报文,,result_payload,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
过账状态,,posting_status,varchar,mes_posting_status,20,是,基础版字段定义，后续可按数据库规范细化。
过账时间,,posting_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
错误信息,,error_message,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
投料接口ID,,consume_if_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
接口消息ID,,interface_msg_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
投料记录ID,,op_consume_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
SAP订单号,,sap_order_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
SAP预留号,,sap_reservation_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
SAP预留行号,,sap_reservation_item,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
物料编码,,material_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
过账数量,,posting_qty,decimal,,18,是,基础版字段定义，后续可按数据库规范细化。
过账单位,,posting_uom,varchar,mes_uom,20,否,基础版字段定义，后续可按数据库规范细化。
过账状态,,posting_status,varchar,mes_posting_status,20,是,基础版字段定义，后续可按数据库规范细化。
过账时间,,posting_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
错误信息,,error_message,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
班次ID,,shift_id,bigint,,20,是,主键。
班次编码,,shift_code,varchar,,64,是,建议唯一。
班次名称,,shift_name,varchar,,128,是,如早班、中班、晚班。
开始时间,,start_time,time,,,是,班次内开始时间。
结束时间,,end_time,time,,,是,班次内结束时间。
是否跨天,,cross_day_flag,char,sys_yes_no,1,是,夜班等跨天场景。
工时,,work_hours,decimal,,8,否,班次标准工时。
状态,,status,varchar,sys_normal_disable,20,是,启用/停用。
创建人,,create_by,varchar,,64,是,审计字段。
创建时间,,create_time,datetime,,,是,审计字段。
更新人,,update_by,varchar,,64,否,审计字段。
更新时间,,update_time,datetime,,,否,审计字段。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,备注说明。
生产日历ID,,calendar_id,bigint,,20,是,主键。
工厂ID,,plant_id,bigint,,20,是,所属工厂。
日历日期,,calendar_date,date,,,是,生产日历日期。
日期类型,,day_type,varchar,mes_calendar_day_type,20,是,工作日、休息日、节假日等。
是否工作日,,work_flag,char,sys_yes_no,1,是,是否可排产。
班次ID,,shift_id,bigint,,20,否,可按班次定义产能。
可用产能小时,,capacity_hours,decimal,,8,否,当天或班次可用产能。
状态,,status,varchar,sys_normal_disable,20,是,启用/停用。
创建人,,create_by,varchar,,64,是,审计字段。
创建时间,,create_time,datetime,,,是,审计字段。
更新人,,update_by,varchar,,64,否,审计字段。
更新时间,,update_time,datetime,,,否,审计字段。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,备注说明。
排产计划ID,,plan_id,bigint,,20,是,主键。
排产计划号,,plan_no,varchar,,64,是,排产计划唯一编号。
生产工单ID,,prod_order_id,bigint,,20,是,关联生产工单。
工单工序ID,,order_op_id,bigint,,20,否,可排到工序粒度。
工作中心ID,,work_center_id,bigint,,20,是,计划工作中心。
产线ID,,line_id,bigint,,20,否,计划产线。
班次ID,,shift_id,bigint,,20,否,计划班次。
计划日期,,plan_date,date,,,是,计划日期。
计划开始时间,,planned_start_time,datetime,,,是,计划开始。
计划结束时间,,planned_end_time,datetime,,,是,计划结束。
计划数量,,planned_qty,decimal,,18,是,排产数量。
方案状态,,plan_status,varchar,mes_schedule_status,20,是,草稿、已发布、已锁定等。
是否锁定,,lock_flag,char,sys_yes_no,1,是,是否锁定计划。
是否发布,,publish_flag,char,sys_yes_no,1,是,是否已发布到执行。
创建人,,create_by,varchar,,64,是,审计字段。
创建时间,,create_time,datetime,,,是,审计字段。
更新人,,update_by,varchar,,64,否,审计字段。
更新时间,,update_time,datetime,,,否,审计字段。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,备注说明。
日志ID,,log_id,bigint,,20,是,主键。
排产计划ID,,plan_id,bigint,,20,是,关联排产计划。
调整类型,,adjust_type,varchar,mes_schedule_adjust_type,32,是,新增、变更、取消等。
调整前开始时间,,before_start_time,datetime,,,否,调整前计划开始。
调整后开始时间,,after_start_time,datetime,,,否,调整后计划开始。
调整前结束时间,,before_end_time,datetime,,,否,调整前计划结束。
调整后结束时间,,after_end_time,datetime,,,否,调整后计划结束。
调整前工作中心ID,,before_work_center_id,bigint,,20,否,调整前资源。
调整后工作中心ID,,after_work_center_id,bigint,,20,否,调整后资源。
调整原因,,adjust_reason,varchar,,500,否,排产调整原因。
操作人ID,,operator_id,bigint,,20,否,调整操作人。
日志时间,,log_time,datetime,,,是,记录时间。
创建人,,create_by,varchar,,64,是,审计字段。
创建时间,,create_time,datetime,,,是,审计字段。
更新人,,update_by,varchar,,64,否,审计字段。
更新时间,,update_time,datetime,,,否,审计字段。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,备注说明。
审核ID,,review_id,bigint,,20,是,主键。
生产工单ID,,prod_order_id,bigint,,20,是,关联工单。
批记录编号,,batch_record_no,varchar,,64,是,电子批记录编号。
审核节点,,review_node,varchar,mes_batch_review_node,64,是,审核环节。
审核人ID,,reviewer_id,bigint,,20,否,审核人员。
审核状态,,review_status,varchar,mes_review_status,20,是,待审、通过、驳回。
审核意见,,review_comment,varchar,,500,否,审核说明。
提交时间,,submit_time,datetime,,,否,提交审核时间。
审核时间,,review_time,datetime,,,否,实际审核时间。
是否当前节点,,current_flag,char,sys_yes_no,1,是,是否当前待处理节点。
状态,,status,varchar,sys_normal_disable,20,是,记录状态。
创建人,,create_by,varchar,,64,是,审计字段。
创建时间,,create_time,datetime,,,是,审计字段。
更新人,,update_by,varchar,,64,否,审计字段。
更新时间,,update_time,datetime,,,否,审计字段。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,备注说明。
异常分类ID,,category_id,bigint,,20,是,主键。
父级ID,,parent_id,bigint,,20,否,支持树形分类。
分类编码,,category_code,varchar,,64,是,建议唯一。
分类名称,,category_name,varchar,,128,是,异常分类名称。
分类类型,,category_type,varchar,mes_exception_category_type,32,是,设备、工艺、质量等。
严重等级,,severity_level,varchar,mes_severity_level,20,是,异常严重程度。
响应时限分钟,,response_time_limit,int,,11,否,异常响应时限。
是否启用升级,,escalation_flag,char,sys_yes_no,1,是,是否需要升级机制。
状态,,status,varchar,sys_normal_disable,20,是,启用/停用。
创建人,,create_by,varchar,,64,是,审计字段。
创建时间,,create_time,datetime,,,是,审计字段。
更新人,,update_by,varchar,,64,否,审计字段。
更新时间,,update_time,datetime,,,否,审计字段。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,备注说明。
异常升级ID,,escalation_id,bigint,,20,是,主键。
异常记录ID,,exception_id,bigint,,20,是,关联异常主表。
来源模块,,source_module,varchar,mes_exception_source_module,64,否,兼容字段，优先通过exception_id关联异常主表。
来源业务ID,,source_biz_id,bigint,,20,否,兼容字段，优先通过exception_id关联异常主表。
异常分类ID,,category_id,bigint,,20,否,异常分类。
升级等级,,escalation_level,int,mes_escalation_level,11,是,第几级升级。
升级发起人ID,,from_person_id,bigint,,20,否,升级发起人。
升级接收人ID,,to_person_id,bigint,,20,否,升级接收人。
升级原因,,escalation_reason,varchar,,500,否,升级原因说明。
升级时间,,escalation_time,datetime,,,是,升级发生时间。
处理状态,,handle_status,varchar,mes_exception_handle_status,20,是,待处理、处理中、已关闭。
处理时间,,handle_time,datetime,,,否,处理完成时间。
状态,,status,varchar,sys_normal_disable,20,是,记录状态。
创建人,,create_by,varchar,,64,是,审计字段。
创建时间,,create_time,datetime,,,是,审计字段。
更新人,,update_by,varchar,,64,否,审计字段。
更新时间,,update_time,datetime,,,否,审计字段。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,备注说明。
ID,,id,bigint,,20,是,主键。
工作中心ID,,work_center_id,bigint,,20,是,工作中心。
设备ID,,equipment_id,bigint,,20,是,设备。
关系类型,,relation_type,varchar,mes_wc_equipment_relation_type,32,是,主设备、可选设备等。
是否主设备,,primary_flag,char,sys_yes_no,1,是,是否主设备。
生效开始时间,,effective_from,datetime,,,否,关系生效开始。
生效结束时间,,effective_to,datetime,,,否,关系生效结束。
状态,,status,varchar,sys_normal_disable,20,是,启用/停用。
创建人,,create_by,varchar,,64,是,审计字段。
创建时间,,create_time,datetime,,,是,审计字段。
更新人,,update_by,varchar,,64,否,审计字段。
更新时间,,update_time,datetime,,,否,审计字段。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,备注说明。
处置ID,,handling_id,bigint,,20,是,主键。
处置单号,,handling_no,varchar,,64,是,处置单唯一编号。
生产不良ID,,prod_defect_id,bigint,,20,否,关联生产不良。
检验结果ID,,insp_result_id,bigint,,20,否,关联检验结果。
生产工单ID,,prod_order_id,bigint,,20,否,关联工单。
工单工序ID,,order_op_id,bigint,,20,否,关联工序。
物料ID,,material_id,bigint,,20,否,不合格物料。
物料批次ID,,material_lot_id,bigint,,20,否,不合格批次。
处置类型,,handling_type,varchar,mes_nc_handling_type,32,是,返工、报废、让步接收等。
处置结果,,handling_result,varchar,mes_nc_handling_result,32,否,处置结论。
处置数量,,handling_qty,decimal,,18,是,处置数量。
处置人ID,,handler_id,bigint,,20,否,处置人。
处置时间,,handling_time,datetime,,,否,实际处置时间。
审批状态,,approval_status,varchar,mes_approval_status,20,是,处置审批状态。
是否关闭,,close_flag,char,sys_yes_no,1,是,是否闭环。
创建人,,create_by,varchar,,64,是,审计字段。
创建时间,,create_time,datetime,,,是,审计字段。
更新人,,update_by,varchar,,64,否,审计字段。
更新时间,,update_time,datetime,,,否,审计字段。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,备注说明。
变更ID,,change_id,bigint,,20,是,主键。
变更单号,,change_no,varchar,,64,是,变更单唯一编号。
变更类型,,change_type,varchar,mes_change_type,32,是,BOM、工艺、物料等。
变更标题,,change_title,varchar,,200,是,变更标题。
变更说明,,change_desc,varchar,,1000,否,变更内容说明。
受影响对象类型,,affected_object_type,varchar,mes_change_object_type,32,是,BOM、工艺、工序等。
受影响对象ID,,affected_object_id,bigint,,20,否,受影响业务对象主键。
来源模块,,source_module,varchar,mes_change_source_module,64,否,变更来源模块。
申请人ID,,request_person_id,bigint,,20,否,变更申请人。
申请时间,,request_time,datetime,,,是,申请时间。
审批状态,,approval_status,varchar,mes_approval_status,20,是,审批状态。
变更状态,,change_status,varchar,mes_change_status,20,是,草稿、审批中、生效、关闭等。
生效时间,,effective_time,datetime,,,否,变更生效时间。
创建人,,create_by,varchar,,64,是,审计字段。
创建时间,,create_time,datetime,,,是,审计字段。
更新人,,update_by,varchar,,64,否,审计字段。
更新时间,,update_time,datetime,,,否,审计字段。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,备注说明。
异常记录ID,,exception_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
异常单号,,exception_no,varchar,,64,是,异常记录唯一编号。
来源模块,,source_module,varchar,mes_exception_source_module,64,是,异常来源模块。
来源业务ID,,source_biz_id,bigint,,20,否,兼容字段，记录来源业务主键；优先使用明确业务外键。
异常分类ID,,category_id,bigint,,20,否,异常分类。
生产工单ID,,prod_order_id,bigint,,20,否,关联工单。
工单工序ID,,order_op_id,bigint,,20,否,关联工单工序。
工序执行ID,,op_exec_id,bigint,,20,否,关联执行实例。
异常标题,,exception_title,varchar,,200,是,异常标题。
异常描述,,exception_desc,varchar,,1000,否,异常描述。
严重等级,,severity_level,varchar,mes_severity_level,20,是,异常严重程度。
异常状态,,exception_status,varchar,mes_exception_status,20,是,打开、处理中、已关闭。
发现人ID,,found_person_id,bigint,,20,否,异常发现人。
发现时间,,found_time,datetime,,,是,异常发现时间。
关闭人ID,,closed_person_id,bigint,,20,否,异常关闭人。
关闭时间,,closed_time,datetime,,,否,异常关闭时间。
创建人,,create_by,varchar,,64,是,审计字段。
创建时间,,create_time,datetime,,,是,审计字段。
更新人,,update_by,varchar,,64,否,审计字段。
更新时间,,update_time,datetime,,,否,审计字段。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除。
备注,,remark,varchar,,500,否,备注说明。
